City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,comodoro rivadavia,-45.8667,-67.5,19.92,37,0,2.57,AR,1675504550
84,tuktoyaktuk,69.4541,-133.0374,-38.29,100,23,1.07,CA,1675504550
85,constitucion,-35.3333,-72.4167,14.53,94,4,2.99,CL,1675504551
86,ponta do sol,32.6667,-17.1,16.74,51,7,2.84,PT,1675504551
87,istok,42.7808,20.4875,5.41,76,93,2.01,XK,1675504552
88,barrow,71.2906,-156.7887,-26.99,83,75,4.12,US,1675504552
89,laurel,39.0993,-76.8483,-8.3,53,0,4.63,US,1675504491
90,mehamn,71.0357,27.8492,-4.05,68,100,6.17,NO,1675504553
91,portage,41.1667,-81.1998,-11.65,79,0,0.0,US,1675504554
92,gold coast,-28.0,153.4333,23.04,88,47,0.0,AU,1675504554
93,leningradskiy,69.3833,178.4167,-31.6,98,100,1.92,RU,1675504555
94,nyurba,63.2842,118.3319,-37.08,100,98,1.26,RU,1675504555
95,longyearbyen,78.2186,15.6401,-15.09,78,0,5.14,SJ,1675504556
96,namibe,-15.1961,12.1522,25.23,66,82,4.22,AO,1675504556
97,puerto carreno,6.189,-67.4859,23.52,66,57,3.78,CO,1675504557
98,hofn,64.2539,-15.2082,0.61,71,61,3.83,IS,1675504557
99,port lincoln,-34.7333,135.8667,16.51,72,24,4.51,AU,1675504558
100,bandarbeyla,9.4942,50.8122,25.65,58,8,7.15,SO,1675504559
101,khatanga,71.9667,102.5,-37.66,100,76,2.01,RU,1675504559
102,laguna,38.421,-121.4238,9.41,93,0,2.06,US,1675504560
103,mokhsogollokh,61.4681,128.9203,-26.38,100,100,0.52,RU,1675504560
104,hervey bay,-25.2986,152.8535,27.79,79,100,4.02,AU,1675504561
105,port blair,11.6667,92.75,29.02,74,75,3.6,IN,1675504561
106,provideniya,64.3833,-173.3,-22.21,87,97,5.54,RU,1675504562
107,bac lieu,9.285,105.7244,27.17,68,10,8.14,VN,1675504562
108,tautira,-17.7333,-149.15,26.79,80,100,7.11,PF,1675504563
109,chokurdakh,70.6333,147.9167,-30.75,97,79,4.28,RU,1675504564
110,agropoli,40.3469,14.9966,15.6,69,72,2.32,IT,1675504564
111,grindavik,63.8424,-22.4338,0.26,74,40,14.92,IS,1675504565
112,nakhon phanom,17.3333,104.4167,26.82,47,40,2.33,TH,1675504566
113,guerrero negro,27.9769,-114.0611,13.7,80,0,3.3,MX,1675504566
114,san patricio,28.017,-97.5169,8.92,89,0,2.33,US,1675504567
115,konya,38.1667,32.5,-2.29,74,68,0.73,TR,1675504568
116,matam,15.6175,-13.3303,20.0,30,0,0.0,SN,1675504569
117,kabul,34.5,69.4167,3.38,71,6,2.21,AF,1675504554
118,fairbanks,64.8378,-147.7164,-16.4,85,100,0.0,US,1675504510
119,fort nelson,58.8053,-122.7002,-18.23,78,100,0.0,CA,1675504571
120,puerto ayora,-0.7393,-90.3518,24.19,97,84,0.45,EC,1675504572
121,tiksi,71.6872,128.8694,-31.56,100,100,1.03,RU,1675504572
122,motril,36.7507,-3.5179,16.26,42,0,0.97,ES,1675504573
123,aksarka,66.5606,67.7975,-13.7,92,100,2.0,RU,1675504573
124,saint-denis,48.9167,2.3333,9.86,94,100,2.06,FR,1675504574
125,beloha,-25.1667,45.05,34.47,36,88,3.88,MG,1675504575
126,ukiah,39.1502,-123.2078,9.41,91,0,0.0,US,1675504575
127,yankton,42.8711,-97.3973,-8.27,92,0,0.0,US,1675504576
128,upernavik,72.7868,-56.1549,-24.89,94,100,1.87,GL,1675504577
129,tiznit,29.5833,-9.5,14.16,19,0,2.7,MA,1675504577
130,cabedelo,-6.9811,-34.8339,24.37,76,86,5.45,BR,1675504578
131,boden,65.8252,21.6886,-20.0,93,97,0.9,SE,1675504578
132,saldanha,-33.0117,17.9442,21.03,63,2,1.55,ZA,1675504579
133,cidreira,-30.1811,-50.2056,21.96,90,64,5.22,BR,1675504580
134,kaitangata,-46.2817,169.8464,18.26,83,1,3.25,NZ,1675504580
135,eureka,40.8021,-124.1637,8.66,94,100,3.05,US,1675504555
136,castro,-24.7911,-50.0119,18.06,98,100,3.58,BR,1675504581
137,dunedin,-45.8742,170.5036,18.18,85,0,5.25,NZ,1675504491
138,gubkinskiy,64.434,76.5026,-13.99,93,31,4.2,RU,1675504582
